informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Platform Lead - Payment Infrastructure,መድረክ መሪ - የክፍያ መሠረተ ልማት,P,ICT and digital work,Software Design Development and Implementation Works
PlayConsole Account Creator,የPlayConsole መለያ ፈጣሪ,P,ICT and digital work,Software Design Development and Implementation Works
"PlayMatters Gender, Equality, Diversity and Inclusion Officer",PlayMatters ጾታ፣ እኩልነት፣ ልዩነት እና ማካተት መኮንን,P,Service,Social work services
PlayMatters Project Manager,የፕሌይሜትስ ፕሮጀክት አስተዳዳሪ,P,Service,Social work services
Plodder Machine Operator,Plodder ማሽን ኦፕሬተር,P,Manufacturing,Manufacturing of plastic products
Plugin developer for Joomla,ተሰኪ ገንቢ ለ Joomla,P,ICT and digital work,Software Design Development and Implementation Works
Plugin of software,የሶፍትዌር ፕለጊን,P,ICT and digital work,Software Design Development and Implementation Works
Plumber & Electrician,የቧንቧ ሰራተኛ እና ኤሌክትሪክ ባለሙያ,P,Construction,Plumbing Contractor
PMEL and Programs Quality Assurance Officer,PMEL እና የፕሮግራሞች ጥራት ማረጋገጫ ኦፊሰር,P,Service,Quality Management Consulting Service
PMEL Lead,PMEL መሪ,P,Service,Quality Management Consulting Service
PMEL Officer,PMEL መኮንን,P,Service,Quality Management Consulting Service
PMER Coordinator,PMER አስተባባሪ,P,Service,Quality Management Consulting Service
Pneumatic Roller / Roller operator,Pneumatic ሮለር / ሮለር ኦፕሬተር,P,Construction,Road Contractor
Pneumatic Tyer Roller Operator,Pneumatic Tyer ሮለር ኦፕሬተር,P,Construction,Road Contractor
Podcast cohost,የፖድካስት ስብስብ,P,Tourism and art,Music Band
Podcast Technician,ፖድካስት ቴክኒሻን,P,Tourism and art,Music Band
Policy & Advocacy Officer,ፖሊሲ እና አድቮኬሲ ኦፊሰር,P,Service,Consulting service around social science
Policy Advisor,የፖሊሲ አማካሪ,P,Service,Consulting service around social science
Policy Analyst,የፖሊሲ ተንታኝ,P,Service,Consulting service around social science
Policy and Advocacy Specialist,የፖሊሲ እና የጥብቅና ባለሙያ,P,Service,Consulting service around social science
"Policy and Communications Consultant, ENABLE",የፖሊሲ እና የግንኙነት አማካሪ,P,Service,Consulting service around social science
Policy Collaboration and Diffusion Officer,የፖሊሲ ትብብር እና ስርጭት ኦፊሰር,P,Service,Consulting service around social science
Policy LINK – Administrative Assistant,ፖሊሲ LINK - የአስተዳደር ረዳት,P,Service,Consulting service around social science
Policy LINK – Procurement & Subawards Officer/Coordinator,የፖሊሲ አገናኝ - የግዥ እና ንዑስ ክፍል ኃላፊ/አስተባባሪ,P,Service,Consulting service around social science
Policy LINK – Regional Administrative & Logistics Coordinator,የፖሊሲ አገናኝ - የክልል አስተዳደር እና ሎጂስቲክስ አስተባባሪ,P,Service,Consulting service around social science
Policy LINK Ethiopia – MEL Coordinator,ፖሊሲ LINK ኢትዮጵያ - የMEL አስተባባሪ,P,Service,Consulting service around social science
Policy LINK Ethiopia - Regional Program Coordinator,ፖሊሲ LINK ኢትዮጵያ - የክልል ፕሮግራም አስተባባሪ,P,Service,Consulting service around social science
"Policy LINK Ethiopia, Collaborating, Learning, and Adapting (CLA) Specialist",የፖሊሲ አገናኝ ኢትዮጵያ፣ ትብብር፣ መማር እና ማላመድ (CLA) ስፔሻሊስት,P,Service,Consulting service around social science
Policy LINK/Ethiopia – Policy Dialogue and Stakeholder Engagement Lead,ፖሊሲ LINK/ኢትዮጵያ - የፖሊሲ ውይይት እና የባለድርሻ አካላት ተሳትፎ መሪ,P,Service,Consulting service around social science
Policy LINK/Ethiopia – Regional Program Manager,ፖሊሲ LINK/ኢትዮጵያ - የክልል ፕሮግራም አስተዳዳሪ,P,Service,Consulting service around social science
Policy Research and Analytics Lead,የፖሊሲ ጥናት እና የትንታኔ አመራር,P,Service,Consulting service around social science
Political Parties Liaison Expert,የፖለቲካ ፓርቲዎች ግንኙነት ባለሙያ,P,Service,Consulting service around social science
Political Show Host,የፖለቲካ ትርኢት አስተናጋጅ,P,Tourism and art,Music Band
Poll Worker,የሕዝብ አስተያየት ሠራተኛ,P,Service,Other services
Pompista (Nozzle Pump Technician),ፖምፒስታ (የኖዝል ፓምፕ ቴክኒሻን,P,Service,Motor vehicle repair work
Pool - Customer Service Manager I,ገንዳ - የደንበኞች አገልግሎት አስተዳዳሪ I,P,Service,Other services
Pool – Senior Customer Service Officer I for Branches under Dire Dawa District,ገንዳ - በድሬዳዋ አውራጃ ስር ለሚገኙ ቅርንጫፎች ከፍተኛ የደንበኞች አገልግሎት ኦፊሰር,P,Service,Other services
Pool Branch Manager Grade I,ቅርንጫፍ አስተዳዳሪ 1ኛ ክፍል,P,Business,Wholesale business in specialized stores
Pool Branch Relationship Manager I,ቅርንጫፍ ግንኙነት አስተዳዳሪ I,P,Business,Wholesale business in specialized stores
Portal Development Expert,የፖርታል ልማት ኤክስፐርት የፖርታል ልማት ባለሙያ,P,ICT and digital work,Software Design Development and Implementation Works
Portfolio Management Division Manager,ፖርትፎሊዮ አስተዳደር ክፍል አስተዳዳሪ,P,Service,Finance and Administration Services
Portfolio Management Officer,ፖርትፎሊዮ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Portfolio Officer,ፖርትፎሊዮ ኦፊሰር,P,Service,Finance and Administration Services
Portfolio Review for Graphic Design Interns,ለግራፊክ ዲዛይን ፖርትፎሊዮ ግምገማ,P,Tourism and art,Filmmaking and related work
POSM Store keeper,የPOSM መደብር ጠባቂ,P,Business,Retail trade in specialized stores
Postmachine Technician,የፖስታ ማሽን ቴክኒሻን,P,"Logistics, transportation and communication",National Postal Service
Post Production Editor,የድህረ ምርት አርታዒ,P,Tourism and art,Filmmaking and related work
Post Security Manager,የፖስታ ደህንነት አስተዳዳሪ,P,"Logistics, transportation and communication",National Postal Service
Postal Motorist,የፖስታ አሽከርካሪ,P,"Logistics, transportation and communication",National Postal Service
Postdoctoral fellow,የድህረ-ዶክትሬት ባልደረባ,P,Education,other
Post-Doctoral Fellowship Opportunity,የድህረ-ዶክትሬት ህብረት ዕድል,P,Education,other
Postdoctoral Researcher-Immunology and Molecular Biology,የድህረ-ዶክትሬት ተመራማሪ-ኢሚውኖሎጂ እና ሞለኪውላር ባዮሎጂ,P,Service,"Research and development work on human health, pharmacology"
"PostHarvest Agronomist, Field Agronomist, Irrigation",ድህረ-መኸር የግብርና ባለሙያ፣ የመስክ አግሮኖሚስት፣ መስኖ,P,agriculture,Agriculture
Potter,ሸክላ ሠሪ,P,Manufacturing,Manufacture of non-structural clay and ceramic materials
Poultry employee,ዶሮ እርባታ ሰራተኛ,P,agriculture,Breeding birds
Poultry Project Team Leader,የዶሮ እርባታ ፕሮጀክት ቡድን መሪ,P,agriculture,Breeding birds
Power Apps/Power BI/Power Automate Developer,Power Apps/Power BI/Power Automate ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Power engineer,የኃይል መሐንዲስ,P,Economic Infrastructure,Energy
Power Expert,የኃይል ባለሙያ,P,Economic Infrastructure,Energy
PR & Marketing Executive,PR እና ግብይት ሥራ አስፈፃሚ,P,Service,Advertising
PR and Communication Officer,PR እና ኮሙኒኬሽን ኦፊሰር,P,Service,Advertising
PR and Marketing Manager,PR እና የግብይት አስተዳዳሪ,P,Service,Advertising
PR Strategist,PR ስትራቴጂስት,P,Service,Advertising
Pre-cleaning and Silo Operator,ቅድመ-ጽዳት እና ሲሎ ኦፕሬተር,P,Manufacturing,Manufacturing of crushed and partially ground grains
President of the College,የኮሌጁ ፕሬዝዳንት,P,Education,other
Pressing Assistant Operator,ረዳት ኦፕሬተርን በመጫን ላይ,P,Manufacturing,Preparation of textile stripes; Spinning and weaving
Pressing Operator,ኦፕሬተርን በመጫን ላይ,P,Manufacturing,Preparation of textile stripes; Spinning and weaving
Prevention Officer,የመከላከያ መኮንን,P,Service,Security Service
Preventive Maintenance & Control Officer,የመከላከያ ጥገና እና ቁጥጥር ኦፊሰር,P,Service,Equipment and machine installation and maintenance service
Preventive Maintenance Division Manager,የመከላከያ ጥገና ክፍል ሥራ አስኪያጅ,P,Service,Equipment and machine installation and maintenance service
Preventive Maintenance Engineer,የመከላከያ ጥገና መሐንዲስ,P,Service,Equipment and machine installation and maintenance service
Preventive Maintenance Follow up Engineer,የመከላከያ ጥገና ክትትል መሐንዲስ,P,Service,Equipment and machine installation and maintenance service
Preventive Maintenance Officer,የመከላከያ ጥገና ኦፊሰር,P,Service,Equipment and machine installation and maintenance service
Preventive Maintenance(PM) Engineer,የመከላከያ ጥገና (PM) መሐንዲስ,P,Service,Equipment and machine installation and maintenance service
Primary Data entry on SPSS,በ SPSS ላይ የመጀመሪያ ደረጃ የውሂብ ግቤት,P,ICT and digital work,Database organization and data processing
Primary Directress/Director,ዋና ዳይሬክተር / ዳይሬክተር,P,Education,other
Primary Health Care (PHC) Coordinator,የመጀመሪያ ደረጃ የጤና እንክብካቤ (PHC) አስተባባሪ,P,Health,Health
Primary Level Home Teacher,የመጀመሪያ ደረጃ የቤት መምህር,P,Education,other
Primary Transformer assembly TECHNICIAN:,ዋና ትራንስፎርመር ስብሰባ ቴክኒሻን,P,Manufacturing,Electrical equipment and utilities Manufacturing
Prime Coating Technician,ዋና ሽፋን ቴክኒሽያን,P,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Prime Distributer Operator,ዋና አከፋፋይ ኦፕሬተር,P,Business,Wholesale business in specialized stores
Principal - Branch Monitoring & Evaluation Officer,ርዕሰ መምህር - የቅርንጫፍ ክትትል እና ግምገማ ኦፊሰር,P,Service,Finance and Administration Services
Principal - Business Intelligence and Innovation,ዋና - የንግድ ኢንተለጀንስ እና ፈጠራ,P,Service,Finance and Administration Services
Principal – Business Intelligence and Innovation Officer,ርዕሰ መምህር - የቢዝነስ ኢንተለጀንስ እና ፈጠራ ኦፊሰር,P,Service,Finance and Administration Services
Principal - Customer Service & Insight Analyst,ርእሰመምህር - የደንበኞች አገልግሎት እና የማስተዋል ተንታኝ,P,Service,Finance and Administration Services
Principal – IFB Product Development Officer,ዋና - የ IFB ምርት ልማት ኦፊሰር,P,Service,Finance and Administration Services
Principal – Network Administrator,ዋና - የአውታረ መረብ አስተዳዳሪ,P,ICT and digital work,Computer network design deployment and implementation tasks
Principal – Performance and Result Management Officer,ርዕሰ መምህር - የአፈፃፀም እና የውጤት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Principal - Server & Storage Administrator,ርእሰ መምህር - አገልጋይ እና ማከማቻ አስተዳዳሪ,P,ICT and digital work,Data Center Hosting Services
Principal Agent Banking Management Officer,ዋና ወኪል የባንክ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
"Principal Asset, Liability & Operational Risk Management Officer",ዋና ንብረት፣ ተጠያቂነት እና የተግባር ስጋት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Principal Auditor,ዋና ኦዲተር,P,Service,Accounting and auditing Jobs
Principal Brand Management Officer,ዋና የምርት ስም አስተዳደር ኦፊሰር,P,Service,Advertising
Principal Claims Management Officer,ዋና የይገባኛል ጥያቄዎች አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Principal Collateral Valuator,ዋና መያዣ ቫልዩተር,P,Service,Finance and Administration Services
Principal Credit Analyst,ዋና የብድር ተንታኝ,P,Service,Finance and Administration Services
Principal Credit Appraisal Officer,ዋና የክሬዲት ግምገማ ኦፊሰር,P,Service,Finance and Administration Services
